textID,text,selected_text,sentiment
3846df112f, you said you **** up your nose!,**** up your nose!,negative
313cf37734,  That`s no good. I`m sorry,That`s no good. I`m sorry,negative
6f99793f65,  does it mean you will b going 2 bed earlier on Mondays?,does it mean you will b going 2 bed earlier on Mondays?,neutral
c63d292edc, your understanding would require taking paragraph 3 out of context. But para5 COULD lead to opting out of EVERY class.,your understanding would require taking paragraph 3 out of context. But para5 COULD lead to opting out of EVERY class.,neutral
b7f7417fae,great party alenka!!  happy birthday chicky! <3,great party alenka!!  happy birthday chicky!,positive
ee0b6f2027,Done some positive affirmation now back to the Japanese yay for bank holiday Monday,positive,positive
f3d9d6947b, U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,U SO funny but u right! I like BSB but Im not as fan than U I love much better Tupac & TLC..2 bad they`re not singing anymore,neutral
1ca52945d1,Missing you all deeply,Missing you all deeply,negative
c84d50ca46,FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! <3,FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! <3,positive
12864e516a,I dreamt someone committed suicide w a drip stand!  - http://tweet.sg,I dreamt someone committed suicide w a drip stand!,neutral
e0a6f451c8,work work work. my desk is a sea of papers and I am the dinghy being tossed about in its waves.,work work work. my desk is a sea of papers and I am the dinghy being tossed about in its waves.,neutral
cf92786094," that is awesome!  spent the day studyin, chillin a lil b4 goin to bed, its slowly gettin colder in Paraguay, winter is comin",that is awesome!,positive
ba0fa7443e,just contributed to economic stimulus at Wal Mart - un expected tire replacements,just contributed to economic stimulus at Wal Mart - un expected tire replacements,neutral
c6bf7c5635, no im not  cries LOL,cries,negative
c15ddf097f,I want to change my twitter name but I can`t think of anything,I want to change my twitter name but I can`t think of anything,neutral
6117fbee73, oh **** that sucks,sucks,negative
20256fa065,Searching for Dr. Scholl`s sandal inserts for men. It seems they only make them for women,Searching for Dr. Scholl`s sandal inserts for men. It seems they only make them for women,neutral
f25e549db9,AC getting installed today,AC getting installed today,neutral
c89b84685c,"traveling alone makes i meet new people,new circle ..strangers become friends",friends,positive
c7e5d03c36, i cant even call a **** man  **** on bogus ****. yah digg?,i cant even call a **** man  **** on bogus ****. yah digg?,neutral
b9de5cce2d,"Happiness comes from within...so the fact that it is a gray, rainy, Monday doesn`t bother me. Well, not too much.",Monday doesn`t bother me.,positive
e1cc8e8beb, OH THAT`S GOOD! My top 4 are: The Haunted House/Sound one; Bakery; Inside Ralphie`s body; & ..... I FORGET!!,OH THAT`S GOOD!,positive
6dfe561162,"get down tonight: http://bit.ly/QxXhi  the bridesmaids, moms, bride & I rockin` the reception","moms, bride & I rockin` the reception",positive
56f48da395, I`m doing all of Russia today! Because I`m cracking on with Economics tommorow  I`m retaking aswell :/,I`m doing all of Russia today! Because I`m cracking on with Economics tommorow  I`m retaking aswell :/,neutral
ea76e52729,eye still hurts  I Think I`ll go sleep now...,hurts,negative
167f7748e2,lots of Reqs today.... no fun,no fun,negative
b66503f26a,has just discovered a great site!,great,positive
2ef17bd974,sorry dunners just saw your tweet! totally let you down im so sorry babe  was at work till 8.30 very boooooo,boooooo,negative
d5ebd5f984, You win ... SIGH Rakeem,win,positive
