textID,text
bb8ed3dcfb,I always want to be perfect. Thatï¿½s so hard cause I even know that itï¿½s impossible. ...
dc3779373d,The ultimate shirt folding tool (http://www.flipfold.com/)- I saw  using this in one of Big Bang Theory`s episodes
e99be33a06,Can`t wait to come home! I miss my Bubba. Too bad my parents are taking him to Canada.
707ef9a4ec,Its beginning to get way too hard to please all of my friends at once
32c20a8817,I`ll guess I will see everyone after the weekend  Gunna be having major Tweet cravings the entire time!!...
ee22737cab,just got back home with my disappointing report card
e11142577b,Its time for me to pack up at work now and have not had much time for twitter!  Thank you for any follow fridays. Be back later!
1de90cbb83, what do i have? lots of stuff.
b7c40eced7,i am up - dont want to be though  wish i had slept in more heather woke me up. i`ve got to work later but first i will read some twilight!
feae916455,massive headache  going to see terminator tonight!
fd6ebd68f6,I would Join you shopping but i have work all weekend  six degrees of seperation is confsuing
c72f960f31," Kayyy XD Yeah, everyone always talks about the part where the dog dies  I need to find a movie that you haven`t seen now XD"
3b2b2492e1,says I`m tutoring my cousin!  http://plurk.com/p/rpp57
28cbcb6bf9,going to hannah movie @ 6.30
195605cfe6,word to yer mother!!   \m/
ed2d8e1682,i`m goin to bed now. see ya tomorrow twitter ppl.
40ea45df5b," The Hulk, great movie  You might recognize Toronto`s Younge Street in some of the fight scenes."
97ea0541cd,Thing always end up going bad
0c88d19f11,I think it`s time to take a shower & get ready for the dayy.  I hope we go shopping while we`re in Mason today. I want new clothes!!
76f2272991,have no line bi-focals for over 3 yrs now. End up taking glasses off to read close up.
9a48e5faf2,need a break...my head hurts
171028e14a,  you have every right to feel like a crazy fanboy! jason mraz and james morrison? the jealousy is tangible
bd59625046,it`s Blockbuster week in New Zealand - 'Wolverine' tomorrow followed by 'Star Trek' on Thursday!
dc0d1fc43d,"Bah DHCP server, why must you keep falling on your face"
f67d5f3243, shud up! lol my device thing doesn`t work
638272e500, we just missd each otha again! I was at disney all day YESTERday!
1510b48c1d,All of you can have fun tweeting all day while im cleaning hair  LOL
535cf4afd1,ughhh have a tummy ache
1ea1879617," wooooo the tour has started yay, 13 days  have an awesome time! loved the video xD"
72e6cca7f7,"playing guitar hero, waiting for Abby to text me after prom"
4efc551b0f, dunno. Maybe the flu. I feel a bitbetter now.
537c2a7ee6,Just want to wish everyond a Happy Mother`s Day. Hope it`s a great one!
5bc318f14f,awake from the nap
a1c6ed3d31,I hate being sick.  Make me soup?
4291805bc4,this phyllis hyman unsung story is so SAD
e854031165, Tell me about it. I spend 20 of the 45 min in the morning on computer. Doesn`t leave a lot of time 4 showering & hair-do`ing.
b3d8c22fb6,Finally watched the last couple episodes of The Office on NBC ( #theofficenbc ) - I now understand why Gervais stopped after 2 seasons
53900a29f4,#Supernatural at 9:30pm on #Ten.. Counting down..
f5f3a1aa8e," Aaron and I are playing a gig at the Life Aquatic party outside of Austin, so I think we`ll have to mis the TT Bday party, sadly"
9fb1bb7aa3,"houstatlantavegas, sooner than later, nov. 18th, a night off, successful . over and over for the last 2837 hours - heavennn"
f2566dfbb1,Felt one tooth without the braces bracket. I got soooo hype
9c5aef57bf,"So much for just an oil change... Do not pass Go, do not collect $200, lose $160"
33309bac91,"Pizza parties went well, but still invisible  I might as well be out with a bag over my head. Whatever!"
d0e546bb03,Good morning! It`s going to be a kick-butt day!
85ec413e54, http://twitpic.com/4jaz5 - Cool... luv it
d92f85fc21,FO SHOWWW
55ee97cf53,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me
b13630ef02," thanks for adding me, glad to have you"
407f226cdb,_kap But I think it`s cute.  Do this every night okay?
9490ccbf28," I know, she`s great!  The Climb is sooo good!"
24235d9ec0,what do u do when ur dads losing it mentaly and dosent remeber you
cd5f10b26f,Has been rejected
9c2b1313af,Why kiss the feet of the people who kick you when you can be anything that you want to?  morning everyone! Hope you have the best day ever
82f7a9886e,weather starting to be better  So just SHINE **
7a53c9a6a0,PUSH was amazing
ded431defe,3 margs. Driving home in the rain now
eac8b5ece5, I had to work and missed it    Shannon could barely contain herself.  She had an amazingly good time
716bbb29cd,_ci ewww poor you  wish you all the best! thank God there is Rolland Garros this month isn`t?! ;P
f6c32db7c1, Congrats Hughesy to you and Holly on the safe arrival of Rafferty David Hughes! Hope all is well  xoxo
d1947e8c88,at the R&R fashion show with kacie
8bf994aa45, Might be a while before I get around to it. Not sure if I will make it flat out in HTML or through WordPress. .. Fun fun fun
32f1ca1440,just met Sarah Kelly... wow... she is an amazing woman of God!  and she gave me a free t-shirt!  gotta love free merch
dcd2dcb4a3,  if she sees that she will cry! lol
006cb87a83," ISHRA!! haha, cassie ventura? ...not after her haircut! where were you yesterday during the beat music awards?"
829e2b094d,It`s pissing me off and not letting me follow ericka
4dcd538cc3,looks like it got cloudy again outside! and i have nothing to do tonight! boo friday
cb774db0d1," I`d have responded, if I were going"
b1c50991ba,_Anais I feel reeeally bad now.... sorry
18dcc2b561,all my files got deleted
9bf41d3d1d,Ugh i hate photobucket! an amazing place to edit pictures is: www.picnik.com  i use it alll the time.
9a5552c206, Defo can`t wait we will have a nice afternoon and some music
5d24a08a76, im seeing this guy 2moro arvo after skl cus he asked me to
9c45d72579, congrats mollie! just wish i could have got some tickets
ab2e0e1adc,I`m getting more and more followers... look out Ashton!
8aee74193f,: Chillin` at home-watching a movie on tv & making some 'healthified' streusel coffee cake.
7321fe66ff, tell your friends to tie you to the railing. I expect a tweet tomorrow about headaches and feeling tired
01e3cec037,"Apparently Paige is partying with Rose Jenn and Adam again, without me   My child has such a wild imagination.  ;)"
dae7cf8591,Eurgh.. Revision.. Who invented History?
c6b8ff0b6e,Wedding..
30cd7e7f6b,doesn`t kno wat to do now ER is over  saddo
7daeda94c3, You are welcome  I love cute stuff!
f5a08bfb29,This sars has really got me down.
1536cd45f1,the tummy monster hates me
6df42eca8b,  Does anyone update the photowalkingutah google calendar with photowalks?  Looks like I`ve missed a few
d925742d1d," haha, not always, just a 2-day-trip, for a friend. But I`ve been here some times. That`s why I know basic Japanese"
4bccd1a403, say hi to dan and katherine and zachy
6feeed89d9,_Jo my mask is non-existent at the mo  Charis didn`t send me one & I haven`t been bothered to make one! I`m wearing boy clothes!
3f9ba3aba6," Hey, it`s good to see you here! Will now follow you. Would be nice to have a photo!"
401143a73a, I queue for cake standing up and with a slight look of deranged anticipation on my face.
1a09cbe62d,Photo: Thatï¿½s what you call HOPE.  http://tumblr.com/xww1phh33
0cf17464e9,Favorite little cartoon movie in the world
3d08334de3,Im so tired. And its so gloomy  what happeened ro summer?
98fe54bad4,The muse has me gripped firmly by the throat. Really enjoying my writing
2cfcce19be,__marie lol..french toast sticks too!
847739dfdd," So you have to call the Customer Care .. or try to enter any wrong pw and see the result , is it 'invalid user name or password' ?"
5cc346e0c9,"_Devil1 Big Brother quiz?  What?!  I`m too busy rocking out on Guitar Hero, I didn`t notice any such thing"
420ad91e31,great night hangin out with my family... mom and dad loved the extra company tonight!  can`t wait for FRC Pcola Tomorrow
b0d1361181,Oh ****!  I forgot to eat! Grumble grumble.
fc0c7d4636, Nope!  She can travel all she wants when SHE can pay for it.
a9456542d7,Happy mother`s day to all moms out there!  i just played tong-its a while ago.
0d9efcc86e, is a no show for lunch. Eating solo at noodles
8225fc17a2, ya I just NEVER play it...I`m basically only using my PS3 these days
35141c3060,"Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!"
2d5d4bf6ed,... and itï¿½s FFA *evil grin* but Iï¿½m so busy at work today I wonï¿½t get anything done
43afc1a3c9,I hate watching the News. Why do such awful things happen?
933efccf09, awe  wit the snap of my fingers n a nod of my head ur rain is gone  lol...thxs hit up afterwards
36f4769f8b,"_Is_Here oh hun, i`m sorry... out of everything you`ve been through, the last thing you deserve is to be unhappy at home.."
f01fb26254,"wow, almost got involved in this big fight at school!  ah, but anyways text me? going to causin`s house, plus game crazy."
9701cbe5f4, was there going to be a recording of with the needle that stings in her heart on youtube or something? i missed the stream
e7c1bc550d, Morning! Are u back in blighty Bill? Hope u had a lovely time away
e08f8b684d, rubbish!
e3953c8bee,Poor baby`s got his first booboo  that he caused himself LOL  http://twitpic.com/673vt
27af3032f1, Yes I do! And I`m still almost at my Gmail storage ceiling! ARGH! I am being FORCED to delete stuff.... or buy more space.
526e7edf15," Yeah, but George says something with his words. Otherwise its just..... jiberish junk... love, joy,happy ahh see how nice"
7a132e10d0,Ahh saved from mowing the lawn by the rain  Now I have plenty of time to go kayaking. Blessed are the rain gods!!
176febd44e, - I will see if there`s a used organ shop there & let you know. But why not just sign up to ejamming.com and rock out!
