textID,text,selected_text,sentiment
9ff3691441,"Sooo, I spent most of my day sitting at home in front of the computer in my pajamas...I love these days.",love,positive
860b2bb70c, Bummer yo.  I`m starting up finals too soon...so I guess I`ll see you around the second week of June then.,Bummer,negative
013e35a6c5,After 42 hours of not sleeping it is time for bed. Alaska-so far so good,Alaska-so far so good,positive
f7c173a4f3,iPhone just fell,iPhone just fell,negative
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive
c1608cfd9d,I want an iPhone <33333,I want an iPhone <33333,positive
4eb5424a63,I had so much fun tonight!! But i am soo excited to get home and go to sleep,I had so much fun tonight!! But i am soo excited to get home and go to sleep,positive
acfad4374f," what about Midge? She definitely has to be in on that tie for first. She`s completely dumb  and yeah, punk`d indeed",completely dumb,negative
e74a24c3a1, ouch  does picking your nose count?,ouch,negative
5ef6cb9505, Happy Birthday and cheers to PAO!!,Happy,positive
0fde86617a, lol after this weekend yea ur right  text me cause im goin to 3rd and they dont have computers there  bye bye,lol,positive
c2c5b285b9,Shared Kim Hï¿½ltermand - Portfolio: Shared by Kaare Finally a dane  IÂ´ve got the honor to do the amazing.. http://tinyurl.com/coypsl,honor,positive
9a2ba41cb3,Oh what a day it has been! Stress and thinking about the future is making me sad!,Stress and thinking about the future is making me sad!,negative
7941093526,Why does my boss have to come in today.....,Why does my boss have to come in today.....,negative
2248efe4a0,Currently working on a collab with Alynn Carter called Lost Inside which I`m very excited about,I`m very excited,positive
3e31b98ce2, I know it`s just a sprain. It`s a repetitive injury for me.,injury,negative
c9d73fb0b7,really sick and tired but my body`s resisting rest!,really sick,negative
8c644ad7b2,"Now Im in the work  , I miss my home, any news?",I miss,negative
55ee97cf53,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,slower,negative
1cd38b9ea1, You needed to watch the White House Correspondent`s Dinner. That would have cheered you up!,cheered,positive
1e46a09055, i think you`d look cute in the beanie hat,cute,positive
32b971af95, comes to you. when is your atl show jljf i swear you will have fun they`re so much fun,fun,positive
4c0e5429a0," haha, sorry, it`s past my bedtime","sorry,",negative
a8ad6cf418," 'phlegmily green house...' That was clever, but ever sooooooo ...... eeeeewwwwww. [more slow clapping] Get well soon.",Get well soon.,positive
7420980c60,Havin a much better day today!! Finished the last Twilight book yesterday. Classes start next week!      Get at me yall!!,better,positive
72ae625409,_crisis deathmatch? I don`t have that game. Plus.... I`m not really good at any games  lol,not really good,negative
ed483d0c51,has a headache from the the heat.,has a headache from the the heat.,negative
5010f92b03,Took a shift tomorrow.    I don`t really feel like working right now.,I don`t really feel like,negative
bc49371473," Ohhh, he is very regal man-cat! But he is blocked",blocked,negative
bfda3152ce,"In Y!M, when you sign in and sign out repeatedly, you`re not annoying.",you`re not annoying.,positive
0a3a00c98d,finally graduation no more school ... im sick today,sick,negative
c4f8705aa9,happy maders day,happy,positive
0440e95ebe,"`s going to Disney World, lucky ****.","`s going to Disney World, lucky ****.",positive
b4e3618232, I like only the james bond series. Thats what a spy movie is!,I like,positive
6ec26d122e,feels great after solving a minor but long term problem with 3ds max just now!  Maybe I should try animating the avatar after all? xD,feels great,positive
3766439f81, oh I`m sorry for that. how old was your grandpa?,sorry,negative
