textID,text
643381ff9d,haha. i love you too aimeeeeeee!
f1660e689c, thank you! It`s sunny outside so that`s a good start
bcaad4a070, You`re welcome.
04bcfe8493,"Yeah, my brain does rock!  I am happy to share my knowledge with you Carrie"
59fa0bb3bf, bugger didn`t know that  shame people have to stick there nose in!
b0ca69014c, Thanks for trying! Done just that and no good  If I can`t fathom it I`ll take it to Apple Store. Sigh...
d92bd9e860,I lost count   sorry I let u down...
8b9c2a5e50,listening to music  was kostet der fisch ?! xD my mathsteacher has choose the wrong job... that`s wrong grammar but a real fact !!
17aeaef146,"Going to be buckling down this week. So, relief for my twitter followers from my inanity. Enjoy my silence."
b931353754,"'NAPPY`S' da new 'N' word....by da way, iLove my 'NAPPY' braids  iGot 'HANG-TIME' homie lol"
1f6a94f173, hey ive seen the musical live its funny lol
83388c9647, I`m afraid your comments on MP`s expenses were hopelessly out of touch with the average person average salary. V.insensitive
5a24827c24, I think it`s less of a tribute and more of a parody.
5f02451f6e, glad you liked the gmail add-on too. We visual people like the asthetics to be right don`t we.
11084dac09, it is ****...u have dissappointed me that past few days
bf6271be1d,Decode by Paramore is a great song... Love it...
7a36fca205," it`s an awesome book, can`t wait for the film - enjoy and don`t be scared  x"
caa8d94c9a,"i feel really sick, and my teeth still hurt.  fml."
8a1de68223,Best show of my life. Guess I`m going to sc this week
7e556552b3,"_Paradise Hi Dale, your welcome man! Hope ur weekend is going well. I think I would enjoy your Desert Paradise! fun, fun, fun!"
5089a80d71, i have a weird subconscience. i wonder who will i dream next
93755df0f2,Is going to have one upset daughter  in a bit..mr. Rat took a sudden turn for the worse and didn`t make it
5e4e914e8c," im kinda tired enough to sleep, but 'Migrate' has got me up singing along, haha"
001b0e9abe,she made my sister cry too hahah. bless her.  i hope she can do it again.
9892bfc39c,_**** it was indeed  made my life!
4ed0e12e72, **** i always miss it
ec1c6989b0,"watered the tomato plants, pepper plants and lettuce, feeling all homely! off out with Freddie for a fun-packed day"
c339569822, thanks :0 I will try
140680ab2c,I can`t figure out the empire puzzle.  Stuck at 36
3d890a18aa,FREE FREE FREE- just a pesky registration but after that  ENJOY http://bit.ly/rlQGu
db01f598c2,Sad because i cant go over my friends house
1823b30898, im sorry. i dont wanna cuz of how u act. u just turn right around and ignore me and all that
95c4060084," it`s not the 10.5% so much as the A)Sugar and B)Taste ... lord that`ll put ya down, and not in the fun way"
8ef0d123f7, I am pretty sure that`s the sort if tweeting that will lose followers. But stuff it- it was well worth it
385bb6094d," what is I/O psy? I`m taking psy101 starting this Monday, not looking forward to going back to school but"
5b8c529f3c,He brings SOOO much joy!! Show it!!  great song! ? http://blip.fm/~5z3oq
b0156e8928, I feel like I haven`t talked to you in a really really long time.
baec66304d,Sitting by myself. Everyone took the good seats.
9855a6c0a2,**** being drunk and hot sucks
b2ca62930b,"Incase I forget, Happy Mother`s Day to all you moms out there, and to my mommy. The very best one in the world"
d8ffeb6591,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
60da5f7f30," ROFLMFAO!!!! You love us better, don`t you!"
edd0fa3494,okay okay sleep for realz now! Goodnight!  ::waves to followers::
7ba6fb6ba2,Finally out of school for today! HAD TO SIT IN LIBRARY FOR A LONG TIME
1323765761,Feeling pretty tired and lonely
7c19923323, Congrats on the Invisalign! I need to get refitted for mine - I got lazy and stopped wearing them.
2d0804d041,"has just come back from horse riding, what a brilliant day"
a29575e37b,"OK, a few days old, but I love `s diagram of the mainstream adoption curve http://is.gd/ufIg . 'Everyone is doing it'   ...  !"
f227d3770a,"It is so miserably hot, the a/c in my house is broken"
fa2654e730,Chilliin
713aae7489,i hate not being able to twitterize on my cell phone  oh well
67a06b149b,Hmmm.... My whole body feels sore!
cf6cc32d31,well going to sleep peoples!! night all twitterers!! loves ya!  *Welcome Home*
a455c0507b,I wanna go to the extra show really bad
cf0256169d, but cover your sneezes with a tissue for love of God! My germaphobe-ness has significantly increased since joining healthcare
692c77cc63, you really have to come to ireland some time! we love you over here <3
e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn
c3ed2cd6ff,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.
adebad3529,  hope your day gets better soon!!
98f44b08d5,You said you effed up your nose!
6bb61f0267," Good Morning, good wakeup music"
d61916f215,_R_Roberts I LOOK forward to seeing and sharing
0b9683bd22,"deleted a lott of facebook friends, ask to be my friend again if you want. if not idgaf"
930c68e04f, thank u
f7637933f3,(L) ice grande half-sweet French vanilla soy milk from Starbucks means summaa`s coming !!!
4bb594fa0d,school is so pointlesss. seriously though. 7 days of school left and all we do is watch movies and make powerpoints. let me leaveeee
eebfa4d683,Even ARNOLD couldn`t save the parks  http://bit.ly/WSM5J  - How is this providing jobs?
53524ebfd6," Ha, yea you are so not allowed days of rest, way too many interesting ideas to incorporate into tweetdeck"
562ff532c7,Okay I lied! I meant this time next week! That is sooo much longer!!  I miss my mommy...
5f12e0bb1a, sorryyy milerz that i can`t vote i would love to vote but it doesn`t works i`m sad  and very frustraded  :@ :@ --__--
949519175d, ii DON`T HAVE ANY EiTHER
bcd73a9aa7,On the bus goin 2 work but omg seriously im sooooo tired dont know if i`ll survive the 8 hour shift
92ca5583bf,Off to England during the summer holidays this year.... yay!
62435506e2,today was the BEST <3 eff yeah i <3 
2489e8afd3, I might give it another go.
973aaf622e," Awwh....well at least you are up top, where the magic happens!  Today will be a good day, no worries."
2e21b2daea,"Well, enough mushy family talk. To bed I stubbornly go."
03ff7b5de5, I`m so mad I cant go to that...you`re like an hour away from me.
8519bcc3f1,I guess I am too freaky for followers.
fafc1c85a5,"Hi Charlie, thank you for following me! Nice to know there`s another Ollmann in the new world..."
5810ccfe8c,I`m so dizzy already and I`m only on the third page of chapter 73  *plops head*
5a1a796f9d,"****, I cut my finger!"
1ddcf18209,"lovely, my plans have been canceled for the night. another night home alone for me. un-yay"
c9d84326b4,_x3 you are too sweet girl!! My food was soooo good
7907ced082, I like the last part in your methodology.
927df40c50,drinking cordial  yes im bored
4d4a420358,? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg
66cf656e01," um, I think what I will miss the most is.. JAY LENO!!!!!!!!"
2de93005e9,Enjoying afternoon tea with my friends.. Cake delicacies equal sweet time
47ac7fd547,why are matters of the heart so complicated?
090e69990f, Hey guys! can i ask; what item did u guys put up for ur talent show? i am such a BIG fans of both of you! whoo!
b855321530," Good stuff, Smiles back? Why won`t you go to his concert too? :o. Wish I could instead of doing my music which is failing  lol x"
